=== LANE MASK DEBUG LOG — started 2026-04-12 12:28:07 ===
Legend:
  raw      : masks from YOLO (before any classification fix)
  prep     : after _prepare_local_ai_side_masks (guessed→resolve)
  bev      : after _reclassify_masks_via_bev
  guide    : final _build_local_mask_guidance result
  err      : crosstrack error [m]  (+right / -left of centre)
  hdg      : heading error [deg]
  steer    : commanded steering [deg]  (+right / -left)
  Lcx/Rcx  : BEV x-centroid of left/right mask [px], centre=320
  src      : YOLO source (g=guessed_single, e=explicit_class, etc)

F000066 12:28:16.609 | raw: L(cx=120.0,a=3787,s=gue) R(cx=439.2,a=6250,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.2 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.145m hdg=+0.0° | OUT steer=-12.8° v=10.0
F000067 12:28:16.751 | raw: L(cx=120.3,a=3776,s=gue) R(cx=439.3,a=6246,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.2 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.142m hdg=+0.0° | OUT steer=-12.5° v=10.0
F000068 12:28:16.951 | raw: L(cx=120.0,a=3761,s=gue) R(cx=439.6,a=6296,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=559.9 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.140m hdg=+0.0° | OUT steer=-13.5° v=10.0
F000069 12:28:17.032 | raw: L(cx=120.0,a=3761,s=gue) R(cx=439.6,a=6296,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=559.9 center=320.0 swap=no | guide: ? sides=? err=? hdg=-2.2° | OUT steer=-10.2° v=10.0
F000070 12:28:17.170 | raw: L(cx=120.0,a=3739,s=gue) R(cx=439.1,a=6232,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.2 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.137m hdg=+0.0° | OUT steer=-12.9° v=10.0
F000071 12:28:17.297 | raw: L(cx=120.0,a=3739,s=gue) R(cx=439.1,a=6232,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.2 center=320.0 swap=no | guide: ? sides=? err=? hdg=-2.2° | OUT steer=-10.3° v=10.0
F000072 12:28:17.458 | raw: L(cx=121.0,a=3735,s=gue) R(cx=439.2,a=6221,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=559.8 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.138m hdg=+0.0° | OUT steer=-11.4° v=10.0
F000073 12:28:17.590 | raw: L(cx=120.1,a=3727,s=gue) R(cx=439.1,a=6219,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.3 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.137m hdg=+0.0° | OUT steer=-11.3° v=10.0
F000074 12:28:17.720 | raw: L(cx=120.1,a=3727,s=gue) R(cx=439.1,a=6219,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.3 center=320.0 swap=no | guide: ? sides=? err=? hdg=-1.7° | OUT steer=-8.9° v=10.0
F000075 12:28:17.861 | raw: L(cx=118.2,a=3773,s=gue) R(cx=429.5,a=5149,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=563.9 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.140m hdg=+0.0° | OUT steer=-11.3° v=10.0
F000076 12:28:18.023 | raw: L(cx=120.0,a=3729,s=gue) R(cx=439.2,a=6213,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=560.4 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.135m hdg=+0.0° | OUT steer=-11.3° v=10.0
F000077 12:28:18.164 | raw: L(cx=62.6,a=2309,s=gue) R(cx=444.1,a=5753,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=561.1 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.140m hdg=+0.0° | OUT steer=-11.5° v=10.0
F000078 12:28:18.293 | raw: L(cx=121.4,a=3754,s=gue) R(cx=439.7,a=6231,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=561.3 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.137m hdg=+0.0° | OUT steer=-10.9° v=10.0
F000079 12:28:18.412 | raw: L(cx=112.1,a=3760,s=gue) R(cx=441.3,a=6096,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=563.6 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.133m hdg=+0.0° | OUT steer=-10.7° v=10.0
F000080 12:28:18.636 | raw: L(cx=118.6,a=4037,s=gue) R(cx=445.8,a=5932,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=567.3 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.126m hdg=+0.0° | OUT steer=-9.8° v=10.0
F000081 12:28:18.773 | raw: L(cx=123.0,a=4099,s=gue) R(cx=453.2,a=5824,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=572.9 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.118m hdg=+0.0° | OUT steer=-8.6° v=10.0
F000082 12:28:18.980 | raw: L(cx=123.0,a=4099,s=gue) R(cx=453.2,a=5824,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=572.9 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.121m hdg=+0.0° | OUT steer=-8.0° v=10.0
F000083 12:28:19.137 | raw: L(cx=126.5,a=4323,s=gue) R(cx=462.5,a=5831,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=574.8 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.115m hdg=+0.0° | OUT steer=-7.7° v=10.0
F000084 12:28:19.302 | raw: L(cx=117.5,a=3915,s=gue) R(cx=465.5,a=5568,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=576.8 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.111m hdg=+0.0° | OUT steer=-6.7° v=10.0
F000085 12:28:19.523 | raw: L(cx=120.7,a=4220,s=gue) R(cx=475.0,a=5273,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=578.1 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.107m hdg=+0.0° | OUT steer=-6.7° v=10.0
F000086 12:28:19.662 | raw: L(cx=132.8,a=4638,s=gue) R(cx=477.9,a=5752,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=579.5 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.102m hdg=+0.0° | OUT steer=-6.7° v=10.0
F000087 12:28:19.818 | raw: L(cx=134.9,a=4903,s=gue) R(cx=485.9,a=5740,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=580.7 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.093m hdg=+0.0° | OUT steer=-6.7° v=10.0
F000088 12:28:19.977 | raw: L(cx=143.4,a=5340,s=gue) R(cx=491.6,a=5725,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=585.4 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.080m hdg=+0.0° | OUT steer=-3.2° v=10.0
F000089 12:28:20.118 | raw: L(cx=129.2,a=5002,s=gue) R(cx=500.3,a=6003,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=585.6 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.076m hdg=+0.0° | OUT steer=-1.9° v=10.0
F000090 12:28:20.257 | raw: L(cx=131.3,a=5277,s=gue) R(cx=506.2,a=5748,s=gue) | prep: 2-line | bev: 2mask Lcx=None Rcx=589.6 center=320.0 swap=no | guide: midpoint sides=left,right err=-0.068m hdg=+0.0° | OUT steer=-1.3° v=10.0
